Filename,Name,Flairtext,Abbreviated,Sheet,Row,Col,Index,Subsort,File,Division,Conference,Subconference,Conf,Confsort,Selectdisplay,Selectflair,Selectinline,Shortcutflair,Shortcutinline,Shortcutletter,Width,Height,Flair,Flair1,Flair2
massachusetts,Massachusetts Minutemen,Massachusetts Minutemen,Massachusetts,1,10,8,2,3,D1,FBS,MAC,East,MAC,0,TRUE,TRUE,TRUE,massachusetts,#f/massachusetts,None,60,40,massachusetts,massachusetts-sheet1-row10-col08,massachusetts-2sht1-2rw10-2cl08
miamioh,Miami RedHawks,Miami RedHawks,Miami,1,10,9,2,3,D1,FBS,MAC,East,MAC,0,TRUE,TRUE,TRUE,miamioh,#f/miamioh,None,60,40,miamioh,miamioh-sheet1-row10-col09,miamioh-2sht1-2rw10-2cl09
northernillinois,Northern Illinois Huskies,Northern Illinois Huskies,Northern Illinois,1,10,10,2,3,D1,FBS,MAC,West,MAC,0,TRUE,TRUE,TRUE,northernillinois,#f/northernillinois,None,60,40,northernillinois,northernillinois-sheet1-row10-col10,northernillinois-2sht1-2rw10-2cl10
ohio,Ohio Bobcats,Ohio Bobcats,Ohio,1,10,11,2,3,D1,FBS,MAC,East,MAC,0,TRUE,TRUE,TRUE,ohio,#f/ohio,None,60,40,ohio,ohio-sheet1-row10-col11,ohio-2sht1-2rw10-2cl11
toledo,Toledo Rockets,Toledo Rockets,Toledo,1,10,12,2,3,D1,FBS,MAC,West,MAC,0,TRUE,TRUE,TRUE,toledo,#f/toledo,None,60,40,toledo,toledo-sheet1-row10-col12,toledo-2sht1-2rw10-2cl12
westernmichigan,Western Michigan Broncos,Western Michigan Broncos,Western Michigan,1,10,13,2,3,D1,FBS,MAC,West,MAC,0,TRUE,TRUE,TRUE,westernmichigan,#f/westernmichigan,None,60,40,westernmichigan,westernmichigan-sheet1-row10-col13,westernmichigan-2sht1-2rw10-2cl13
northernillinois2,Northern Illinois Huskies Alternate,Northern Illinois Huskies,Northern Illinois,1,10,14,2,3,D1,FBS,MAC,West,MAC,1,TRUE,TRUE,FALSE,northernillinois2,None,None,60,40,northernillinois2,northernillinois2-sheet1-row10-col14,northernillinois2-2sht1-2rw10-2cl14
airforce,Air Force Falcons,Air Force Falcons,Air Force,1,11,1,2,3,D1,FBS,Mountain West,Mountain,mwc,0,TRUE,TRUE,TRUE,airforce,#f/airforce,None,60,40,airforce,airforce-sheet1-row11-col01,airforce-2sht1-2rw11-2cl01
boisestate,Boise State Broncos,Boise State Broncos,Boise State,1,11,2,2,3,D1,FBS,Mountain West,Mountain,mwc,0,TRUE,TRUE,TRUE,boisestate,#f/boisestate,None,60,40,boisestate,boisestate-sheet1-row11-col02,boisestate-2sht1-2rw11-2cl02
coloradostate,Colorado State Rams,Colorado State Rams,Colorado State,1,11,3,2,3,D1,FBS,Mountain West,Mountain,mwc,0,TRUE,TRUE,TRUE,coloradostate,#f/coloradostate,None,60,40,coloradostate,coloradostate-sheet1-row11-col03,coloradostate-2sht1-2rw11-2cl03
fresnostate,Fresno State Bulldogs,Fresno State Bulldogs,Fresno State,1,11,4,2,3,D1,FBS,Mountain West,West,mwc,0,TRUE,TRUE,TRUE,fresnostate,#f/fresnostate,None,60,40,fresnostate,fresnostate-sheet1-row11-col04,fresnostate-2sht1-2rw11-2cl04
hawaii,Hawai'i Rainbow Warriors,Hawai'i Rainbow Warriors,Hawai'i,1,11,5,2,3,D1,FBS,Mountain West,West,mwc,0,TRUE,TRUE,TRUE,hawaii,#f/hawaii,#f/h,60,40,hawaii,hawaii-sheet1-row11-col05,hawaii-2sht1-2rw11-2cl05
nevada,Nevada Wolf Pack,Nevada Wolf Pack,Nevada,1,11,6,2,3,D1,FBS,Mountain West,West,mwc,0,TRUE,TRUE,TRUE,nevada,#f/nevada,None,60,40,nevada,nevada-sheet1-row11-col06,nevada-2sht1-2rw11-2cl06
newmexico,New Mexico Lobos,New Mexico Lobos,New Mexico,1,11,7,2,3,D1,FBS,Mountain West,Mountain,mwc,0,TRUE,TRUE,TRUE,newmexico,#f/newmexico,None,60,40,newmexico,newmexico-sheet1-row11-col07,newmexico-2sht1-2rw11-2cl07
sandiegostate,San Diego State Aztecs,San Diego State Aztecs,San Diego State,1,11,8,2,3,D1,FBS,Mountain West,West,mwc,0,TRUE,TRUE,TRUE,sandiegostate,#f/sandiegostate,None,60,40,sandiegostate,sandiegostate-sheet1-row11-col08,sandiegostate-2sht1-2rw11-2cl08
sanjosestate,San José State Spartans,San José State Spartans,San José State,1,11,9,2,3,D1,FBS,Mountain West,West,mwc,0,TRUE,TRUE,TRUE,sanjosestate,#f/sanjosestate,None,60,40,sanjosestate,sanjosestate-sheet1-row11-col09,sanjosestate-2sht1-2rw11-2cl09
unlv,UNLV Rebels,UNLV Rebels,UNLV,1,11,10,2,3,D1,FBS,Mountain West,West,mwc,0,TRUE,TRUE,TRUE,unlv,#f/unlv,None,60,40,unlv,unlv-sheet1-row11-col10,unlv-2sht1-2rw11-2cl10
utahstate,Utah State Aggies,Utah State Aggies,Utah State,1,11,11,2,3,D1,FBS,Mountain West,Mountain,mwc,0,TRUE,TRUE,TRUE,utahstate,#f/utahstate,None,60,40,utahstate,utahstate-sheet1-row11-col11,utahstate-2sht1-2rw11-2cl11
wyoming,Wyoming Cowboys,Wyoming Cowboys,Wyoming,1,11,12,2,3,D1,FBS,Mountain West,Mountain,mwc,0,TRUE,TRUE,TRUE,wyoming,#f/wyoming,None,60,40,wyoming,wyoming-sheet1-row11-col12,wyoming-2sht1-2rw11-2cl12
appalachianstate,Appalachian State Mountaineers,Appalachian State Mountaineers,Appalachian State,1,12,1,2,3,D1,FBS,Sun Belt,None,sb,0,TRUE,TRUE,TRUE,appalachianstate,#f/appalachianstate,None,60,40,appalachianstate,appalachianstate-sheet1-row12-col01,appalachianstate-2sht1-2rw12-2cl01
arkansasstate,Arkansas State Red Wolves,Arkansas State Red Wolves,Arkansas State,1,12,2,2,3,D1,FBS,Sun Belt,None,sb,0,TRUE,TRUE,TRUE,arkansasstate,#f/arkansasstate,None,60,40,arkansasstate,arkansasstate-sheet1-row12-col02,arkansasstate-2sht1-2rw12-2cl02
georgiasouthern,Georgia Southern Eagles,Georgia Southern Eagles,Georgia Southern,1,12,3,2,3,D1,FBS,Sun Belt,None,sb,0,TRUE,TRUE,TRUE,georgiasouthern,#f/georgiasouthern,None,60,40,georgiasouthern,georgiasouthern-sheet1-row12-col03,georgiasouthern-2sht1-2rw12-2cl03
georgiastate,Georgia State Panthers,Georgia State Panthers,Georgia State,1,12,4,2,3,D1,FBS,Sun Belt,None,sb,0,TRUE,TRUE,TRUE,georgiastate,#f/georgiastate,None,60,40,georgiastate,georgiastate-sheet1-row12-col04,georgiastate-2sht1-2rw12-2cl04
idaho,Idaho Vandals,Idaho Vandals,Idaho,1,12,5,2,3,D1,FBS,Sun Belt,None,sb,0,TRUE,TRUE,TRUE,idaho,#f/idaho,None,60,40,idaho,idaho-sheet1-row12-col05,idaho-2sht1-2rw12-2cl05
louisianalafayette,Louisiana-Lafayette Ragin' Cajuns,Louisiana-Lafayette Ragin' Cajuns,Louisiana-Lafayette,1,12,6,2,3,D1,FBS,Sun Belt,None,sb,0,TRUE,TRUE,TRUE,louisianalafayette,#f/louisianalafayette,None,60,40,louisianalafayette,louisianalafayette-sheet1-row12-col06,louisianalafayette-2sht1-2rw12-2cl06
louisianamonroe,Louisiana-Monroe Warhawks,Louisiana-Monroe Warhawks,Louisiana-Monroe,1,12,7,2,3,D1,FBS,Sun Belt,None,sb,0,TRUE,TRUE,TRUE,louisianamonroe,#f/louisianamonroe,None,60,40,louisianamonroe,louisianamonroe-sheet1-row12-col07,louisianamonroe-2sht1-2rw12-2cl07
newmexicostate,New Mexico State Aggies,New Mexico State Aggies,New Mexico State,1,12,8,2,3,D1,FBS,Sun Belt,None,sb,0,TRUE,TRUE,TRUE,newmexicostate,#f/newmexicostate,None,60,40,newmexicostate,newmexicostate-sheet1-row12-col08,newmexicostate-2sht1-2rw12-2cl08
southalabama,South Alabama Jaguars,South Alabama Jaguars,South Alabama,1,12,9,2,3,D1,FBS,Sun Belt,None,sb,0,TRUE,TRUE,TRUE,southalabama,#f/southalabama,None,60,40,southalabama,southalabama-sheet1-row12-col09,southalabama-2sht1-2rw12-2cl09
texasstate,Texas State Bobcats,Texas State Bobcats,Texas State,1,12,10,2,3,D1,FBS,Sun Belt,None,sb,0,TRUE,TRUE,TRUE,texasstate,#f/texasstate,None,60,40,texasstate,texasstate-sheet1-row12-col10,texasstate-2sht1-2rw12-2cl10
troy,Troy Trojans,Troy Trojans,Troy,1,12,11,2,3,D1,FBS,Sun Belt,None,sb,0,TRUE,TRUE,TRUE,troy,#f/troy,None,60,40,troy,troy-sheet1-row12-col11,troy-2sht1-2rw12-2cl11
